date,q_m3s,q_mm,gap_length_days,q_m3s_clean,q_status,q_mm_clean
2000-05-17,6.4,1.33549088274363,0,6.4,observed,1.33549088274363
2000-05-18,7.75,1.6171959908223645,0,7.75,observed,1.6171959908223645
2000-05-19,9.16,1.9114213259268207,0,9.16,observed,1.9114213259268207
2000-05-20,9.16,1.9114213259268207,0,9.16,observed,1.9114213259268207
2000-05-21,9.52,1.9865426880811496,0,9.52,observed,1.9865426880811496
2000-05-22,9.88,2.0616640502354793,0,9.88,observed,2.0616640502354793
2000-05-23,9.88,2.0616640502354793,0,9.88,observed,2.0616640502354793
2000-05-24,9.16,1.9114213259268207,0,9.16,observed,1.9114213259268207
2000-05-25,9.16,1.9114213259268207,0,9.16,observed,1.9114213259268207
2000-05-26,9.16,1.9114213259268207,0,9.16,observed,1.9114213259268207
2000-05-27,9.16,1.9114213259268207,0,9.16,observed,1.9114213259268207
2000-05-28,9.52,1.9865426880811496,0,9.52,observed,1.9865426880811496
2000-05-29,9.16,1.9114213259268207,0,9.16,observed,1.9114213259268207
2000-05-30,8.45,1.763265306122449,0,8.45,observed,1.763265306122449
2000-05-31,7.75,1.6171959908223645,0,7.75,observed,1.6171959908223645
2000-06-01,7.4,1.5441613331723225,0,7.4,observed,1.5441613331723225
2000-06-02,7.4,1.5441613331723225,0,7.4,observed,1.5441613331723225
2000-06-03,6.73,1.4043521313850986,0,6.73,observed,1.4043521313850986
2000-06-04,6.73,1.4043521313850986,0,6.73,observed,1.4043521313850986
2000-06-05,6.73,1.4043521313850986,0,6.73,observed,1.4043521313850986
2000-06-06,8.1,1.6902306484724068,0,8.1,observed,1.6902306484724068
2000-06-07,8.45,1.763265306122449,0,8.45,observed,1.763265306122449
2000-06-08,9.52,1.9865426880811496,0,9.52,observed,1.9865426880811496
2000-06-09,9.88,2.0616640502354793,0,9.88,observed,2.0616640502354793
2000-06-10,9.88,2.0616640502354793,0,9.88,observed,2.0616640502354793
2000-06-11,9.88,2.0616640502354793,0,9.88,observed,2.0616640502354793
2000-06-12,9.88,2.0616640502354793,0,9.88,observed,2.0616640502354793
2000-06-13,9.88,2.0616640502354793,0,9.88,observed,2.0616640502354793
2000-06-14,11.0,2.2953749547156144,0,11.0,observed,2.2953749547156144
2000-06-15,11.4,2.378843134887091,0,11.4,observed,2.378843134887091
2000-06-16,11.4,2.378843134887091,0,11.4,observed,2.378843134887091
2000-06-17,11.7,2.4414442700156984,0,11.7,observed,2.4414442700156984
2000-06-18,11.7,2.4414442700156984,0,11.7,observed,2.4414442700156984
2000-06-19,11.7,2.4414442700156984,0,11.7,observed,2.4414442700156984
2000-06-20,12.9,2.6918488105301295,0,12.9,observed,2.6918488105301295
2000-06-21,14.9,3.109189711387514,0,14.9,observed,3.109189711387514
2000-06-22,15.7,3.2761260717304674,0,15.7,observed,3.2761260717304674
2000-06-23,16.1,3.3595942519019446,0,16.1,observed,3.3595942519019446
2000-06-24,16.9,3.526530612244898,0,16.9,observed,3.526530612244898
2000-06-25,17.3,3.6099987924163752,0,17.3,observed,3.6099987924163752
2000-06-26,17.8,3.714334017630721,0,17.8,observed,3.714334017630721
2000-06-27,17.8,3.714334017630721,0,17.8,observed,3.714334017630721
2000-06-28,17.8,3.714334017630721,0,17.8,observed,3.714334017630721
2000-06-29,17.8,3.714334017630721,0,17.8,observed,3.714334017630721
2000-06-30,18.6,3.8812703779736752,0,18.6,observed,3.8812703779736752
2000-07-01,19.5,4.069073783359498,0,19.5,observed,4.069073783359498
2000-07-02,19.9,4.152541963530974,0,19.9,observed,4.152541963530974
2000-07-03,20.4,4.25687718874532,0,20.4,observed,4.25687718874532
2000-07-04,19.9,4.152541963530974,0,19.9,observed,4.152541963530974
2000-07-05,19.0,3.964738558145152,0,19.0,observed,3.964738558145152
2000-07-06,19.0,3.964738558145152,0,19.0,observed,3.964738558145152
2000-07-07,19.5,4.069073783359498,0,19.5,observed,4.069073783359498
2000-07-08,20.4,4.25687718874532,0,20.4,observed,4.25687718874532
2000-07-09,21.7,4.528148774302621,0,21.7,observed,4.528148774302621
2000-07-10,22.1,4.611616954474098,0,22.1,observed,4.611616954474098
2000-07-11,23.9,4.987223765245743,0,23.9,observed,4.987223765245743
2000-07-12,24.8,5.175027170631567,0,24.8,observed,5.175027170631567
2000-07-13,23.9,4.987223765245743,0,23.9,observed,4.987223765245743
2000-07-14,23.0,4.79942035985992,0,23.0,observed,4.79942035985992
2000-07-15,22.1,4.611616954474098,0,22.1,observed,4.611616954474098
2000-07-16,21.7,4.528148774302621,0,21.7,observed,4.528148774302621
2000-07-17,20.8,4.340345368916798,0,20.8,observed,4.340345368916798
2000-07-18,20.8,4.340345368916798,0,20.8,observed,4.340345368916798
2000-07-19,21.2,4.423813549088274,0,21.2,observed,4.423813549088274
2000-07-20,20.8,4.340345368916798,0,20.8,observed,4.340345368916798
2000-07-21,20.4,4.25687718874532,0,20.4,observed,4.25687718874532
2000-07-22,20.4,4.25687718874532,0,20.4,observed,4.25687718874532
2000-07-23,20.4,4.25687718874532,0,20.4,observed,4.25687718874532
2000-07-24,20.4,4.25687718874532,0,20.4,observed,4.25687718874532
2000-07-25,19.5,4.069073783359498,0,19.5,observed,4.069073783359498
2000-07-26,19.0,3.964738558145152,0,19.0,observed,3.964738558145152
