date,precipitation_mm,temperature_degC,pet_mm
1981-10-06,0.4545,-0.9905,0.38117345084549464
1981-10-07,2.7844,-2.0137,0.28073104882648464
1981-10-08,1.998,-1.9342,0.2849648741613248
1981-10-09,3.3214,-3.9037,0.1007475801809325
1981-10-10,1.8393,-2.6474,0.21373692633613312
1981-10-11,1.4221,-3.1178,0.1690415521349853
1981-10-12,1.6051,-3.6612,0.11885326199994056
1981-10-13,1.9275,-2.9573,0.1792423817225661
1981-10-14,0.8835,-3.0509,0.169038484222941
1981-10-15,0.1456,-2.313,0.2303089477580245
1981-10-16,0.4832,-0.6356,0.36968978753949416
1981-10-17,2.8811,-2.1344,0.239871225512855
1981-10-18,1.8187,-3.8243,0.09725022265952137
1981-10-19,0.0814,-2.7063,0.18747613935671179
1981-10-20,3.9858,-4.132,0.07010197712245972
1981-10-21,0.5011,-5.7126,0.0
1981-10-22,0.0055,-5.7826,0.0
1981-10-23,0.578,-5.8507,0.0
1981-10-24,6.4394,-10.0258,0.0
1981-10-25,0.0014,-5.7818,0.0
1981-10-26,0.0004,-3.5513,0.10884875974832534
1981-10-27,0.0009,-2.2401,0.2048823034926809
1981-10-28,0.0029,-4.2072,0.058149486185407176
1981-10-29,6.3206,-5.0041,0.0
1981-10-30,3.3072,-7.4328,0.0
1981-10-31,0.008,-5.3579,0.0
1981-11-01,0.0009,-3.4602,0.10765593415683546
1981-11-02,0.0004,-4.3674,0.04370611035113261
1981-11-03,0.0009,-4.8952,0.007155439443251815
1981-11-04,0.0013,-4.9296,0.004750460395080845
1981-11-05,0.0017,-4.595,0.027010667709117524
1981-11-06,0.0034,-3.6136,0.09139421213019354
1981-11-07,0.2299,-2.0988,0.18905739572920705
1981-11-08,0.282,-4.7781,0.014295477293762595
1981-11-09,1.0993,-7.0977,0.0
1981-11-10,9.0075,-9.2159,0.0
1981-11-11,2.7224,-13.2962,0.0
1981-11-12,0.0004,-9.3744,0.0
1981-11-13,0.0021,-6.11,0.0
1981-11-14,2.0462,-4.2405,0.04578816069994758
1981-11-15,7.499,-6.1738,0.0
1981-11-16,2.6076,-9.1131,0.0
1981-11-17,0.2449,-11.9683,0.0
1981-11-18,0.6874,-12.9047,0.0
1981-11-19,1.6797,-16.2937,0.0
1981-11-20,0.0021,-16.554,0.0
1981-11-21,0.003,-14.1804,0.0
1981-11-22,0.0196,-11.553,0.0
1981-11-23,2.333,-7.8789,0.0
1981-11-24,5.6248,-10.0259,0.0
1981-11-25,1.2639,-11.4418,0.0
1981-11-26,2.9259,-12.3572,0.0
1981-11-27,0.0008,-11.3139,0.0
1981-11-28,0.0009,-6.831,0.0
1981-11-29,0.0013,-8.5609,0.0
1981-11-30,0.0034,-11.2554,0.0
1981-12-01,0.4325,-13.326,0.0
1981-12-02,0.1403,-15.7638,0.0
1981-12-03,0.0075,-15.6543,0.0
1981-12-04,0.0034,-14.2136,0.0
1981-12-05,0.3076,-11.9578,0.0
1981-12-06,0.087,-10.3888,0.0
1981-12-07,0.0809,-11.4253,0.0
1981-12-08,0.3028,-10.622,0.0
1981-12-09,0.1064,-11.9706,0.0
1981-12-10,0.0456,-10.4204,0.0
1981-12-11,0.3175,-11.9546,0.0
1981-12-12,0.0004,-10.7375,0.0
1981-12-13,0.0017,-8.4051,0.0
1981-12-14,0.0028,-10.3463,0.0
1981-12-15,0.0017,-12.2894,0.0
1981-12-16,0.0014,-12.9516,0.0
1981-12-17,0.2353,-12.4018,0.0
1981-12-18,0.0039,-12.5772,0.0
